Attrition,pix1,Age,BusinessTravel,Department,pix2,DistanceFromHome,Education,EducationField,EmployeeNumber,pix3,EnvironmentSatisfaction,Gender,JobInvolvement,pix4,JobLevel,JobRole,JobSatisfaction,MaritalStatus,pix5,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,pix6,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,pix7,TrainingTimesLastYear,WorkLifeBalance,pix8,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,0,35,1,0,0,1,4,1,1172,0,4,0,2,0,1,1,3,2,0,2258,6,0,12,0,3,2,1,10,0,2,3,0,8,0,1,7
0,0,29,1,1,0,19,3,0,1497,0,3,0,2,0,2,2,3,0,0,8620,1,0,14,0,3,3,2,10,0,3,3,0,10,7,0,4
1,0,56,1,0,0,14,4,0,161,0,2,1,3,0,1,3,2,2,0,4963,9,1,18,0,3,1,3,7,0,2,3,0,5,4,4,3
0,0,45,1,0,0,10,2,0,544,0,1,0,3,0,1,3,4,2,0,2654,3,0,21,0,4,4,2,8,0,3,2,0,2,2,0,2
0,0,46,1,0,0,1,4,1,288,0,4,0,3,0,3,4,1,0,0,9396,7,0,16,0,3,3,1,17,0,3,3,0,4,2,0,3
0,0,39,1,0,0,10,1,1,1800,0,3,0,3,0,3,6,3,1,0,13464,7,0,21,0,4,3,0,9,0,3,3,0,4,3,2,2
0,0,52,1,1,0,3,4,3,776,0,3,0,2,0,4,7,1,2,0,16856,1,0,11,0,3,1,0,34,0,3,4,0,34,6,1,16
0,0,32,0,0,0,1,3,0,951,0,3,1,2,0,1,1,2,2,0,2332,6,0,20,0,4,3,0,5,0,3,3,0,3,0,0,2
0,0,46,2,0,0,18,1,1,624,0,1,1,3,0,3,4,3,2,0,10527,5,0,11,0,3,4,0,28,0,3,2,0,2,2,1,2
0,0,28,1,0,0,17,2,1,536,0,3,0,3,0,2,1,1,0,0,4558,1,0,12,0,3,4,1,10,0,2,3,0,10,0,1,8
0,0,29,1,0,0,23,2,0,824,0,3,0,4,0,1,3,3,2,0,2700,1,0,24,0,4,3,1,10,0,3,3,0,10,7,0,7
0,0,39,1,1,0,24,1,3,2056,0,2,1,2,0,4,2,4,2,0,12031,0,0,11,0,3,1,1,21,0,2,2,0,20,9,9,6
0,0,33,1,0,0,9,3,1,1238,0,1,0,3,0,1,3,4,2,0,2781,0,0,13,0,3,2,1,15,0,5,3,0,14,10,4,10
0,0,38,1,1,0,3,3,0,307,0,1,0,3,0,3,2,3,0,0,10609,0,0,12,0,3,3,2,17,0,6,2,0,16,10,5,13
0,0,27,2,0,0,5,2,0,1850,0,4,1,3,0,1,1,4,1,0,2379,0,1,14,0,3,3,0,6,0,3,2,0,5,4,0,2
1,0,19,2,1,0,1,1,2,235,0,3,1,1,0,1,5,1,1,0,2325,0,0,21,0,4,1,0,1,0,5,4,0,0,0,0,0
0,0,54,1,0,0,17,3,2,1013,0,3,1,3,0,3,0,3,2,0,10739,8,0,11,0,3,3,1,22,0,2,3,0,10,7,0,8
0,0,53,1,0,0,23,4,0,901,0,4,1,3,0,4,6,4,1,0,14275,6,0,18,0,3,3,0,33,0,0,3,0,12,9,3,8
0,0,33,0,1,0,8,1,0,1044,0,2,1,2,0,1,5,4,1,0,2342,0,0,19,0,3,4,0,3,0,2,2,0,2,2,2,2
0,0,29,1,1,0,2,3,1,366,0,1,0,2,0,2,2,2,2,0,6644,2,0,19,0,3,2,2,10,0,2,3,0,0,0,0,0
1,0,33,2,0,0,3,3,0,702,0,1,0,3,0,1,3,1,1,0,3348,1,1,11,0,3,1,0,10,0,3,3,0,10,8,9,7
0,0,42,1,0,0,29,3,0,836,0,2,0,3,0,2,0,2,2,0,4434,1,0,13,0,3,4,1,10,0,3,2,0,9,8,7,8
0,0,34,2,0,0,10,4,2,1597,0,4,0,2,0,2,4,3,2,0,5063,1,0,14,0,3,2,1,8,0,3,2,0,8,2,7,7
0,0,42,1,1,0,5,2,3,1029,0,4,0,3,0,5,7,3,2,0,18303,6,0,13,0,3,2,0,21,0,3,4,0,1,0,0,0
0,0,26,1,1,0,1,3,0,476,0,3,0,3,0,2,2,3,2,0,5296,1,0,17,0,3,2,1,8,0,3,3,0,8,7,7,7
0,0,55,1,0,0,1,4,1,1424,0,2,0,4,0,4,6,4,0,0,14732,2,0,13,0,3,4,2,31,0,4,4,0,7,7,0,0
1,0,50,2,1,0,1,4,0,2044,0,2,0,3,0,2,2,3,0,0,6728,7,0,12,0,3,4,2,12,0,3,3,0,6,3,0,1
0,0,37,1,0,0,7,4,1,1885,0,4,0,3,0,2,3,1,2,0,4284,5,1,22,0,4,3,1,16,0,2,3,0,5,3,0,4
0,0,45,0,1,0,26,3,3,1612,0,1,0,2,0,2,2,1,2,0,4385,1,0,15,0,3,1,1,10,0,2,3,0,10,7,4,5
0,0,43,2,1,0,15,3,0,754,0,4,0,2,0,2,2,4,2,0,6804,3,0,18,0,3,3,1,7,0,5,3,0,2,2,2,2
1,0,39,1,1,0,5,3,2,42,0,4,0,3,0,2,5,4,2,0,2086,3,0,14,0,3,3,1,19,0,6,4,0,1,0,0,0
0,0,38,1,1,0,2,2,3,1125,0,4,0,3,0,3,2,2,1,0,7351,7,0,16,0,3,3,0,10,0,2,3,0,1,0,0,0
0,0,31,1,0,0,1,4,1,95,0,3,0,3,0,1,3,2,1,0,2501,1,0,17,0,3,2,0,1,0,4,3,0,1,1,1,0
0,0,51,1,0,0,1,3,0,353,0,3,0,3,0,1,3,4,2,0,2723,1,0,11,0,3,2,0,1,0,0,2,0,1,0,0,0
0,0,36,1,0,0,1,3,2,1237,0,3,1,1,0,3,0,1,0,0,10252,2,1,21,0,4,3,1,17,0,2,3,0,7,7,7,7
0,0,39,1,0,0,6,1,1,2062,0,4,0,2,0,3,4,1,2,0,9991,4,0,15,0,3,1,1,9,0,5,3,0,7,7,1,7
0,0,32,2,0,0,24,4,0,772,0,1,0,3,0,2,1,4,2,0,5309,1,0,15,0,3,4,2,10,0,2,3,0,10,8,4,7
0,0,27,1,0,0,8,3,1,1647,0,2,1,4,0,1,3,3,2,0,3517,7,0,17,0,3,1,0,5,0,0,3,0,3,2,0,2
0,0,39,0,0,0,9,3,0,2022,0,4,0,3,0,5,7,4,1,0,19431,2,0,13,0,3,3,0,21,0,3,2,0,6,0,1,3
0,0,34,1,0,0,7,4,1,1577,0,1,0,3,0,1,3,4,1,0,2972,1,0,13,0,3,3,0,1,0,4,1,0,1,0,0,0
0,0,34,1,0,0,27,2,1,247,0,4,1,3,0,1,3,2,1,0,2311,2,0,15,0,3,4,0,9,0,3,3,0,3,2,1,2
0,0,43,1,1,0,16,3,3,327,0,4,1,3,0,4,7,4,2,0,16064,5,1,22,0,4,3,1,22,0,3,3,0,17,13,1,9
0,0,31,1,0,0,2,4,0,1721,0,2,0,3,0,1,1,3,2,0,3477,1,0,14,0,3,4,1,6,0,2,4,0,5,2,0,3
1,0,31,1,1,0,6,4,0,163,0,2,0,1,0,2,2,3,2,0,6172,4,1,18,0,3,2,0,12,0,3,2,0,7,7,7,7
0,0,38,1,0,0,1,4,0,724,0,2,1,4,0,2,4,4,1,0,7625,0,0,13,0,3,3,0,10,0,4,2,0,9,7,1,8
0,0,36,0,1,0,1,5,1,479,0,4,1,3,0,2,2,4,1,0,6653,4,0,15,0,3,2,0,7,0,6,3,0,1,0,0,0
0,0,42,1,0,0,24,3,1,605,0,4,0,3,0,3,0,1,2,0,7406,1,1,21,0,4,4,1,10,0,5,2,0,10,9,5,8
0,0,43,2,1,0,26,2,0,158,0,3,0,3,0,4,7,4,2,0,16959,1,1,12,0,3,4,2,25,0,3,4,0,25,12,4,12
0,0,36,2,1,0,3,4,1,481,0,1,0,2,0,3,2,4,2,0,9699,4,0,11,0,3,1,1,16,0,2,3,0,13,9,1,12
1,0,51,1,0,0,4,4,0,1081,0,1,0,3,0,1,3,3,2,0,2461,9,1,12,0,3,3,3,18,0,2,4,0,10,0,2,7
0,0,51,2,1,0,2,3,3,1391,0,2,0,3,0,3,2,2,2,0,10596,2,0,11,0,3,2,0,14,0,5,3,0,4,2,3,2
0,0,33,2,0,0,6,3,0,692,0,3,0,3,0,2,4,4,0,0,7725,3,0,23,0,4,3,1,15,0,2,1,0,13,11,4,7
0,0,25,1,2,0,2,3,2,1987,0,3,1,3,0,1,2,2,2,0,2187,4,0,14,0,3,3,0,6,0,3,3,0,2,0,1,2
0,0,33,2,1,0,10,3,3,446,0,2,0,2,0,2,2,4,1,0,4682,3,0,14,0,3,3,0,9,0,6,2,0,7,7,0,1
0,0,42,1,0,0,13,3,1,1803,0,2,0,4,0,2,4,1,2,0,5538,5,0,18,0,3,3,2,10,0,2,2,0,0,0,0,0
0,0,20,1,1,0,2,3,1,1657,0,3,1,3,0,1,5,3,1,0,2783,1,0,19,0,3,1,0,2,0,3,3,0,2,2,2,2
0,0,42,1,2,0,2,1,2,470,0,3,0,3,0,1,2,3,0,0,2696,0,1,11,0,3,3,1,4,0,5,3,0,3,2,1,0
0,0,41,1,1,0,3,3,0,2037,0,3,0,2,0,2,2,2,0,0,8938,2,0,11,0,3,3,1,14,0,5,3,0,5,4,0,4
0,0,27,1,0,0,5,1,2,844,0,3,0,2,0,3,6,4,0,0,12808,1,1,16,0,3,2,1,9,0,3,3,0,9,8,0,8
0,0,30,1,0,0,1,1,0,104,0,4,0,2,0,2,1,4,2,0,5126,1,1,12,0,3,3,2,10,0,1,2,0,10,8,3,0
0,0,30,2,0,0,5,4,0,861,0,2,0,2,0,1,3,4,0,0,3761,9,0,12,0,3,2,1,10,0,3,2,0,5,4,0,3
1,0,37,1,0,0,2,2,4,4,0,4,0,2,0,1,1,3,1,0,2090,6,1,15,0,3,2,0,7,0,3,3,0,0,0,0,0
0,0,24,1,0,0,21,2,2,1551,0,3,0,2,0,1,1,1,0,0,2296,0,0,14,0,3,2,3,2,0,3,3,0,1,1,0,0
0,0,38,1,0,0,29,3,2,273,0,4,0,3,0,2,0,4,2,0,6261,3,0,18,0,3,1,1,9,0,3,1,0,7,7,1,7
0,0,56,1,2,0,8,4,0,1338,0,4,0,3,0,5,7,2,1,0,19717,6,0,14,0,3,1,0,36,0,4,3,0,7,3,7,7
0,0,32,1,0,0,4,3,0,830,0,3,1,2,0,2,0,3,2,0,6162,1,0,12,0,3,3,1,14,0,3,3,0,14,13,6,8
0,0,30,1,1,0,2,1,2,508,0,3,0,3,0,1,5,2,2,0,2476,1,0,18,0,3,1,1,1,0,3,3,0,1,0,0,0
0,0,38,1,0,0,9,2,0,245,0,3,1,3,0,1,1,4,1,0,2288,1,0,12,0,3,3,0,2,0,3,3,0,2,2,2,1
0,0,25,1,1,0,18,1,0,1399,0,1,0,4,0,2,2,3,2,0,6232,2,0,11,0,3,2,0,6,0,3,2,0,3,2,1,2
0,0,39,0,0,0,1,3,0,1737,0,4,0,3,0,2,1,4,2,0,6472,1,1,15,0,3,4,1,9,0,2,3,0,9,8,5,8
0,0,59,1,1,0,25,3,0,81,0,1,1,3,0,3,2,1,1,0,7637,7,0,11,0,3,4,0,28,0,3,2,0,21,16,7,9
0,0,30,1,1,0,8,2,4,982,0,3,0,3,0,3,2,3,0,0,7264,5,0,11,0,3,1,1,10,0,2,4,0,8,4,7,7
0,0,56,2,1,0,6,3,0,532,0,3,1,4,0,4,2,1,2,0,13212,9,0,11,0,3,4,3,36,0,0,2,0,7,7,7,7
0,0,28,1,1,0,5,4,1,916,0,1,0,3,0,2,2,4,1,0,4908,1,0,14,0,3,2,0,4,0,3,3,0,4,2,0,2
0,0,38,2,0,0,6,4,0,1997,0,1,0,2,0,2,0,3,2,0,5321,2,0,11,0,3,4,1,10,0,1,3,0,8,3,7,7
0,0,28,1,1,0,9,4,0,498,0,2,0,3,0,2,2,4,1,0,5253,1,0,16,0,3,4,0,7,0,1,3,0,7,5,0,7
1,0,19,1,0,0,2,3,0,243,0,2,0,2,0,1,1,4,1,0,1102,1,0,22,0,4,3,0,1,0,3,2,0,1,0,1,0
0,0,34,1,0,0,7,4,0,28,0,1,1,3,0,3,6,2,1,0,11994,0,0,11,0,3,3,0,13,0,4,3,0,12,6,2,11
0,0,51,1,0,0,7,4,1,211,0,2,0,2,0,2,0,3,2,0,6132,2,0,17,0,3,3,0,10,0,2,3,0,1,0,0,0
0,0,32,2,0,0,10,3,0,1720,0,1,0,3,0,1,3,3,2,0,3433,6,0,13,0,3,1,1,10,0,3,2,0,5,2,1,3
0,0,35,1,0,0,1,4,0,2052,0,3,1,1,0,1,3,4,2,0,2977,1,0,12,0,3,4,1,4,0,5,3,0,4,3,1,1
0,0,59,0,2,0,2,4,2,140,0,3,1,2,0,5,7,4,2,0,18844,9,0,21,0,4,4,1,30,0,3,3,0,3,2,2,2
0,0,30,1,0,0,10,3,1,1816,0,1,1,3,0,3,0,3,1,0,9667,9,0,14,0,3,2,0,9,0,3,3,0,7,7,0,2
0,0,29,1,0,0,4,3,2,1762,0,4,1,2,0,1,3,1,0,0,2109,1,0,13,0,3,3,1,1,0,2,3,0,1,0,0,0
0,0,52,1,0,0,4,2,0,546,0,4,1,3,0,4,7,4,2,0,16555,2,0,13,0,3,4,0,31,0,2,1,0,5,2,1,4
0,0,36,2,0,0,3,2,1,238,0,4,0,3,0,1,1,2,1,0,2088,4,0,12,0,3,3,0,13,0,3,2,0,8,7,7,2
0,0,29,1,0,0,13,2,4,2053,0,4,0,2,0,2,1,2,2,0,4025,4,1,13,0,3,1,1,10,0,2,3,0,4,3,0,3
0,0,35,1,0,0,18,5,0,1621,0,2,0,4,0,2,3,1,2,0,5208,1,0,11,0,3,4,0,16,0,2,3,0,16,15,1,10
1,0,25,2,1,0,24,1,0,1273,0,3,0,1,0,1,5,4,1,0,1118,1,1,14,0,3,4,0,1,0,4,3,0,1,0,1,0
0,0,54,1,0,0,19,4,1,799,0,4,1,3,0,2,0,1,0,0,5485,9,1,11,0,3,2,2,9,0,4,3,0,5,3,1,4
0,0,32,1,1,0,7,3,0,420,0,4,0,2,0,2,2,3,2,0,5484,1,0,14,0,3,3,1,13,0,3,2,0,13,8,4,8
0,0,52,0,1,0,2,4,0,329,0,1,0,2,0,5,7,3,1,0,19068,1,1,18,0,3,4,0,33,0,2,4,0,33,7,15,12
0,0,31,1,0,0,9,1,0,581,0,3,0,3,0,3,0,2,0,0,10648,1,0,25,0,4,4,1,13,0,6,4,0,13,8,0,8
1,0,19,0,0,0,10,3,1,1248,0,1,1,2,0,1,3,2,1,0,1859,1,1,25,0,4,2,0,1,0,2,4,0,1,1,0,0
1,0,24,1,2,0,22,1,2,1714,0,4,0,1,0,1,2,3,2,0,1555,1,0,11,0,3,3,1,1,0,2,3,0,1,0,0,0
0,0,35,1,0,0,10,4,1,1587,0,1,1,3,0,2,4,3,1,0,6142,3,1,16,0,3,3,0,10,0,4,3,0,5,2,0,4
1,0,30,1,0,0,3,3,2,297,0,4,1,3,0,1,3,1,1,0,2657,5,1,11,0,3,3,0,8,0,5,3,0,5,2,0,4
0,0,54,1,0,0,8,4,0,578,0,3,1,3,0,2,1,3,1,0,3780,7,0,11,0,3,3,0,19,0,3,3,0,1,0,0,0
0,0,34,1,0,0,1,3,0,1447,0,4,1,2,0,1,1,2,2,0,3294,5,0,17,0,3,1,1,7,0,2,2,0,5,4,0,2
0,0,47,1,1,0,2,4,0,925,0,4,1,2,0,1,5,4,1,0,3294,1,1,18,0,3,1,0,3,0,3,2,0,3,2,1,2
0,0,36,0,1,0,15,4,3,2036,0,4,0,1,0,2,2,4,0,0,5406,1,0,24,0,4,1,1,15,0,4,2,0,15,12,11,11
0,0,35,1,0,0,1,4,1,1172,0,4,0,2,0,1,1,3,2,0,2258,6,0,12,0,3,2,1,10,0,2,3,0,8,0,1,7
0,0,29,1,1,0,19,3,0,1497,0,3,0,2,0,2,2,3,0,0,8620,1,0,14,0,3,3,2,10,0,3,3,0,10,7,0,4
1,0,56,1,0,0,14,4,0,161,0,2,1,3,0,1,3,2,2,0,4963,9,1,18,0,3,1,3,7,0,2,3,0,5,4,4,3
0,0,45,1,0,0,10,2,0,544,0,1,0,3,0,1,3,4,2,0,2654,3,0,21,0,4,4,2,8,0,3,2,0,2,2,0,2
0,0,46,1,0,0,1,4,1,288,0,4,0,3,0,3,4,1,0,0,9396,7,0,16,0,3,3,1,17,0,3,3,0,4,2,0,3
0,0,35,1,1,0,8,4,0,805,0,1,1,3,0,1,5,4,2,0,2572,1,0,16,0,3,2,1,3,0,1,2,0,3,2,0,2
0,0,27,2,0,0,15,3,0,1870,0,4,1,2,0,1,3,1,2,0,4774,0,0,19,0,3,4,1,8,0,2,2,0,7,6,7,3
1,0,26,1,0,0,24,3,2,622,0,3,0,1,0,1,1,4,1,0,2340,1,1,18,0,3,2,0,1,0,3,1,0,1,0,0,0
0,0,28,1,0,0,15,2,0,1102,0,1,0,3,0,1,1,3,0,0,2207,1,0,16,0,3,4,1,4,0,5,2,0,4,2,2,2
1,0,56,1,0,0,24,2,0,1907,0,1,0,3,0,1,1,4,1,0,2587,1,0,16,0,3,4,0,5,0,3,3,0,4,2,1,0
0,0,47,0,0,0,14,4,2,1934,0,3,0,3,0,2,3,2,2,0,5467,8,0,18,0,3,3,1,16,0,4,4,0,8,7,1,7
1,0,40,1,1,0,25,4,3,1318,0,4,0,2,0,3,2,2,1,0,9094,2,1,12,0,3,3,0,9,0,2,3,0,5,4,1,0
0,0,31,1,0,0,4,3,1,1916,0,1,1,4,0,1,1,3,0,0,3978,8,0,12,0,3,2,1,4,0,0,2,0,2,2,2,2
1,0,23,1,0,0,6,3,0,811,0,3,0,4,0,1,1,1,2,0,1601,1,1,21,0,4,3,2,1,0,2,3,0,0,0,0,0
0,0,33,1,2,0,2,3,2,1207,0,2,0,3,0,1,2,3,2,0,3600,1,0,13,0,3,4,1,5,0,2,3,0,5,4,1,4
0,0,27,1,1,0,2,2,1,1898,0,1,1,4,0,2,2,3,1,0,6500,0,0,14,0,3,2,0,9,0,5,2,0,8,7,0,7
0,0,43,1,1,0,2,3,1,1706,0,4,0,3,0,2,2,4,2,0,7847,1,1,17,0,3,1,1,10,0,3,3,0,10,9,8,8
0,0,35,1,1,0,28,4,0,1554,0,2,1,2,0,1,5,3,2,0,2430,0,0,23,0,4,1,2,6,0,5,3,0,5,3,4,2
0,0,40,2,1,0,5,4,0,729,0,4,0,2,0,3,2,1,2,0,10475,5,1,21,0,4,3,1,20,0,2,3,0,18,13,1,12
0,0,36,0,0,0,18,4,0,1133,0,1,0,3,0,2,0,4,1,0,7779,2,0,20,0,4,1,0,18,0,0,3,0,11,9,0,9
0,0,30,2,0,0,1,2,1,57,0,3,1,3,0,2,1,4,1,0,4011,1,0,23,0,4,4,0,12,0,2,3,0,12,8,3,7
0,0,55,1,0,0,2,4,2,1873,0,2,0,2,0,1,3,4,2,0,2662,8,0,20,0,4,2,1,19,0,2,4,0,5,2,0,4
0,0,35,1,1,0,1,5,3,204,0,3,0,3,0,3,2,2,2,0,7295,1,0,13,0,3,1,2,10,0,3,3,0,10,8,0,6
0,0,29,1,0,0,8,1,1,1150,0,2,0,2,0,2,0,4,2,0,5056,1,1,15,0,3,3,1,10,0,2,2,0,10,7,1,2
1,0,39,0,0,0,2,3,0,1458,0,1,1,2,0,1,1,1,1,0,3646,2,1,23,0,4,2,0,11,0,2,4,0,1,0,0,0
0,0,18,1,1,0,10,3,1,411,0,4,1,2,0,1,5,3,1,0,1200,1,0,12,0,3,1,0,0,0,2,3,0,0,0,0,0
0,0,30,1,0,0,9,2,1,41,0,4,0,2,0,1,1,3,1,0,2206,1,0,13,0,3,1,0,10,0,5,3,0,10,0,1,8
0,0,43,1,0,0,12,3,0,520,0,1,0,2,0,4,6,2,0,0,14336,1,0,11,0,3,3,1,25,0,3,3,0,25,10,3,9
0,0,40,1,0,0,1,4,0,1892,0,1,0,3,0,4,7,1,0,0,16823,2,0,11,0,3,1,1,22,0,3,3,0,19,7,11,16
0,0,35,2,0,0,18,4,0,2049,0,3,0,3,0,2,4,3,2,0,5689,1,1,14,0,3,4,2,10,0,2,4,0,10,2,0,2
1,0,35,1,1,0,10,3,1,1639,0,4,0,2,0,3,2,1,2,0,10306,9,0,17,0,3,3,0,15,0,3,3,0,13,12,6,0
0,0,33,0,1,0,22,2,3,160,0,3,0,3,0,2,2,2,2,0,6146,0,0,13,0,3,1,1,8,0,2,4,0,7,7,0,7
0,0,45,1,1,0,9,3,3,864,0,4,0,3,0,3,2,1,0,0,10761,4,1,12,0,3,3,1,18,0,2,3,0,5,4,0,2
0,0,47,1,0,0,1,3,2,1438,0,1,0,3,0,1,3,4,2,0,3420,7,0,12,0,3,3,1,17,0,2,2,0,6,5,1,2
1,0,26,1,0,0,21,3,1,1107,0,1,0,3,0,1,1,3,0,0,2377,1,0,20,0,4,3,1,1,0,0,2,0,1,1,0,0
0,0,42,0,0,0,2,1,0,1334,0,3,0,3,0,4,7,3,2,0,17861,0,1,13,0,3,4,0,21,0,3,2,0,20,8,2,10
0,0,29,1,0,0,7,1,1,912,0,1,1,2,0,1,1,4,0,0,2532,6,0,14,0,3,3,3,8,0,5,3,0,4,3,0,3
0,0,40,0,0,0,9,5,0,287,0,4,0,2,0,2,4,4,2,0,4876,9,0,14,0,3,4,1,5,0,5,1,0,3,2,0,2
0,0,34,0,1,0,10,3,0,1774,0,4,0,3,0,2,2,3,0,0,4001,1,1,14,0,3,3,1,15,0,3,3,0,15,14,0,7
0,0,43,2,0,0,9,5,1,663,0,4,0,3,0,2,1,3,0,0,5679,3,1,13,0,3,2,1,10,0,3,3,0,8,7,4,7
0,0,31,1,0,0,12,3,1,961,0,4,1,3,0,2,4,4,2,0,5855,0,1,11,0,3,3,2,10,0,2,1,0,9,7,8,5
0,0,31,1,1,0,29,4,3,1784,0,1,1,2,0,2,2,4,2,0,5468,1,0,14,0,3,1,2,13,0,3,3,0,12,7,5,7
0,0,22,1,0,0,19,1,1,217,0,3,0,3,0,1,3,4,2,0,2323,1,0,24,0,4,1,2,2,0,6,3,0,2,2,2,2
0,0,33,1,0,0,14,3,1,252,0,4,1,3,0,1,3,2,2,0,2756,1,0,13,0,3,4,1,8,0,5,3,0,8,7,1,6
0,0,55,0,0,0,8,1,1,1278,0,4,0,2,0,4,4,2,0,0,13577,1,1,15,0,3,4,1,34,0,3,3,0,33,9,15,0
0,0,27,2,1,0,2,1,0,1371,0,4,0,1,0,2,2,4,1,0,5071,3,0,20,0,4,2,0,8,0,3,3,0,6,2,0,0
0,0,30,0,0,0,2,3,1,571,0,3,1,3,0,1,1,4,1,0,2564,0,0,14,0,3,3,0,12,0,2,2,0,11,7,6,7
0,0,33,2,0,0,3,4,0,5,0,4,1,3,0,1,3,3,2,0,2909,1,1,11,0,3,3,0,8,0,3,3,0,8,7,3,0
0,0,36,0,0,0,24,4,0,419,0,2,1,3,0,2,1,2,2,0,5674,7,0,15,0,3,3,1,11,0,3,3,0,9,8,0,8
0,0,33,1,1,0,10,4,3,1924,0,2,0,3,0,2,2,3,1,0,5487,1,0,14,0,3,2,0,10,0,2,2,0,10,4,0,9
0,0,28,1,0,0,1,3,1,1834,0,3,1,3,0,1,3,1,2,0,3591,1,0,25,0,4,3,1,3,0,3,3,0,3,2,1,2
1,0,30,1,1,0,1,3,0,1562,0,2,0,2,0,2,2,1,2,0,9714,1,0,11,0,3,4,1,10,0,4,3,0,10,8,6,7
1,0,29,1,1,0,27,3,3,283,0,2,1,3,0,3,2,4,2,0,7639,1,0,22,0,4,4,3,10,0,3,2,0,10,4,1,9
1,0,39,1,0,0,23,3,1,1310,0,3,0,3,0,1,3,1,1,0,3904,0,0,13,0,3,1,0,6,0,2,3,0,5,2,0,3
0,0,36,1,0,0,26,4,0,1682,0,1,0,3,0,2,4,3,2,0,5347,6,0,14,0,3,2,2,10,0,2,2,0,3,2,0,2
0,0,32,0,0,0,29,4,1,1046,0,4,1,3,0,1,1,3,1,0,4025,9,0,12,0,3,2,0,10,0,2,3,0,8,7,7,7
0,0,23,1,0,0,4,3,1,705,0,1,0,4,0,1,3,1,2,0,2819,2,0,16,0,3,1,1,5,0,3,4,0,3,2,0,2
0,0,29,1,1,0,10,3,0,749,0,3,0,3,0,1,5,3,1,0,2642,1,0,11,0,3,3,0,1,0,6,3,0,1,0,0,0
0,0,41,1,1,0,1,3,3,534,0,2,0,4,0,3,2,1,2,0,8392,1,0,16,0,3,3,1,10,0,2,3,0,10,7,0,7
0,0,54,1,0,0,7,4,1,1830,0,4,1,3,0,2,3,4,2,0,6854,4,0,15,0,3,2,1,14,0,2,2,0,7,1,1,7
